A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,F,G,G,G,G,G
P2Y12,ETB,PAF,PAR1,CCR7,CXCR2,OX1,OX2,CCK1,KOR,MOR,DOR,GHSR,NTS1,FPR2,NK1,Apelin,AT2,CCR6,CysLT1,PAR2,P2Y1,CXCR4,NPY2R,NPY1R,OT,C5a1,DP2,CCR2,LT4R,CCR5,US28,A1,A2a,EP4,EP2,TXA2R,MT1,MT2,RHO,FFA1,M5,M2,M3,M4,M1,5-HT1f,5-HT2b,B1-AR,B2-AR,D2,5-HT2a,5-HT2c,D3,MC4R,LPA1,S1P3,CB2,CB1,S1P1
38,25,39,36,31,58,55,57,40,49,43,55,33,31,31,37,22,118,31,31,29,47,37,30,50,38,31,37,42,28,37,43,23,65,50,18,41,41,41,63,27,32,41,33,33,32,23,24,46,33,21,36,38,33,42,52,38,36,54,50
40,14,,25,,,44,41,,38,34,41,,24,,,,,,,,34,40,,,,,,,,39,35,13,35,,,,,,24,26,,36,31,32,34,,26,40,30,,,,25,,35,,,43,40
35,30,,40,,,50,54,,49,27,32,,23,,,,,,,,41,28,,,,,,,,24,36,20,30,,,,,,38,42,,19,22,41,30,,27,29,23,,,,43,,47,,,47,28
28,36,,22,,,37,36,,33,34,34,,32,,,,,,,,27,34,,,,,,,,33,25,8,36,,,,,,41,35,,32,32,36,33,,30,39,23,,,,43,,31,,,34,35
34,15,,27,,,38,54,,52,21,32,,29,,,,,,,,37,25,,,,,,,,38,34,5,29,,,,,,39,41,,27,22,31,31,,25,34,32,,,,38,,42,,,31,32
45,18,,33,,,39,43,,53,35,46,,37,,,,,,,,41,34,,,,,,,,38,45,19,31,,,,,,43,37,,25,32,34,35,,35,40,40,,,,42,,27,,,31,28
32,16,,35,,,43,44,,39,23,44,,31,,,,,,,,40,54,,,,,,,,34,32,10,32,,,,,,36,31,,35,26,37,32,,40,25,36,,,,31,,24,,,29,63
30,22,,34,,,35,43,,46,23,42,,29,,,,,,,,39,35,,,,,,,,39,18,3,18,,,,,,42,23,,25,30,29,27,,29,38,43,,,,34,,31,,,42,32
35,19,,29,,,33,51,,50,37,34,,38,,,,,,,,32,36,,,,,,,,37,28,4,23,,,,,,44,39,,35,32,24,22,,36,29,30,,,,34,,41,,,24,35
27,24,,23,,,46,34,,48,36,37,,35,,,,,,,,28,31,,,,,,,,26,25,11,22,,,,,,40,20,,28,28,20,27,,22,32,29,,,,32,,34,,,38,38
29,13,,38,,,42,52,,31,31,37,,23,,,,,,,,35,31,,,,,,,,31,28,10,23,,,,,,44,22,,33,23,38,29,,35,29,34,,,,41,,42,,,38,31
36,22,,27,,,30,30,,32,36,46,,31,,,,,,,,38,7,,,,,,,,29,33,18,30,,,,,,39,22,,34,26,39,31,,40,32,33,,,,19,,26,,,52,39
39,18,,33,,,43,39,,39,25,42,,31,,,,,,,,28,5,,,,,,,,30,25,13,25,,,,,,33,23,,26,26,24,33,,27,21,37,,,,30,,33,,,42,42
34,21,,35,,,36,28,,41,26,40,,32,,,,,,,,31,13,,,,,,,,39,29,10,32,,,,,,41,26,,52,31,30,30,,34,37,31,,,,38,,35,,,28,35
38,18,,34,,,38,58,,51,31,48,,36,,,,,,,,41,5,,,,,,,,31,32,17,29,,,,,,50,28,,21,28,32,22,,47,41,26,,,,29,,44,,,35,36
34,19,,28,,,38,59,,35,30,43,,36,,,,,,,,34,3,,,,,,,,37,40,15,22,,,,,,36,25,,39,32,21,28,,41,27,29,,,,23,,34,,,40,27
23,25,,32,,,35,46,,22,34,38,,31,,,,,,,,46,8,,,,,,,,43,34,10,15,,,,,,36,23,,35,33,36,32,,36,32,32,,,,29,,36,,,42,38
34,23,,47,,,34,47,,51,35,31,,24,,,,,,,,39,2,,,,,,,,27,23,2,22,,,,,,29,31,,36,46,28,32,,43,24,40,,,,35,,17,,,29,26
39,27,,34,,,48,54,,50,34,35,,29,,,,,,,,30,6,,,,,,,,36,27,5,35,,,,,,35,38,,34,31,32,30,,43,26,20,,,,26,,9,,,43,36
35,29,,37,,,52,56,,37,34,47,,37,,,,,,,,39,5,,,,,,,,26,43,8,25,,,,,,36,25,,41,22,29,27,,25,28,36,,,,38,,7,,,27,39
31,14,,32,,,45,47,,40,31,34,,31,,,,,,,,47,5,,,,,,,,25,26,18,27,,,,,,43,42,,29,21,35,29,,26,37,15,,,,30,,27,,,34,40
30,19,,35,,,37,45,,26,31,34,,40,,,,,,,,36,1,,,,,,,,29,43,10,39,,,,,,46,18,,22,21,33,21,,23,28,34,,,,28,,36,,,47,57
44,24,,33,,,46,31,,47,21,46,,33,,,,,,,,35,3,,,,,,,,36,31,3,30,,,,,,48,32,,17,29,33,30,,47,26,33,,,,26,,37,,,38,40
42,19,,32,,,33,30,,36,30,41,,34,,,,,,,,41,6,,,,,,,,30,26,6,33,,,,,,43,21,,40,25,28,19,,38,19,33,,,,46,,29,,,33,44
31,30,,40,,,50,30,,29,28,43,,35,,,,,,,,36,2,,,,,,,,34,28,1,36,,,,,,47,23,,33,22,35,26,,29,24,41,,,,34,,38,,,50,48
36,28,,37,,,41,42,,44,26,37,,23,,,,,,,,45,2,,,,,,,,32,41,26,34,,,,,,28,33,,30,19,38,31,,24,31,21,,,,40,,32,,,50,37
38,14,,29,,,38,45,,55,29,34,,29,,,,,,,,33,0,,,,,,,,34,32,7,20,,,,,,35,31,,25,14,32,28,,34,24,20,,,,35,,30,,,43,42
37,23,,37,,,51,36,,45,42,34,,37,,,,,,,,34,3,,,,,,,,30,28,23,22,,,,,,48,33,,28,13,34,24,,16,36,35,,,,27,,30,,,37,37
34,23,,43,,,37,41,,43,31,47,,31,,,,,,,,31,7,,,,,,,,35,37,16,37,,,,,,35,33,,29,11,31,31,,14,35,43,,,,28,,39,,,32,38
29,37,,57,,,43,44,,48,35,43,,34,,,,,,,,29,3,,,,,,,,37,31,6,30,,,,,,47,31,,28,8,37,28,,31,33,22,,,,32,,37,,,28,47
33,11,,36,,,44,33,,28,40,50,,31,,,,,,,,31,3,,,,,,,,37,25,6,31,,,,,,33,27,,27,22,35,23,,44,39,28,,,,31,,32,,,33,42
